ROW, FILEPATH, STATUS, SLURM_ARRAY_TASK_ID
1300, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.14753/SS.14753_SS.16878.h5, FAILED, 13
5500, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.14457/SS.14457_SS.14648.h5, FAILED, 55
4800, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.14578/SS.14578_SS.14938.h5, FAILED, 48
5600, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.14976/SS.14976_SS.17215.h5, FAILED, 56
200, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.15636/SS.15636_SS.18539.h5, FAILED, 2
2600, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.09574/SS.09574_SS.10485.h5, FAILED, 26
2300, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.05179/SS.05179_SS.07111.h5, FAILED, 23
4300, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.16694/SS.16694_SS.17723.h5, FAILED, 43
3600, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.07111/SS.07111_SS.15350.h5, FAILED, 36
1200, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.09268/SS.09268_SS.09501.h5, FAILED, 12
1600, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.14764/SS.14764_SS.16970.h5, FAILED, 16
4700, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.15869/SS.15869_SS.17858.h5, FAILED, 47
1700, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10505/SS.10505_SS.17940.h5, FAILED, 17
100, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.07499/SS.07499_SS.18596.h5, FAILED, 1
3200, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.09629/SS.09629_SS.18365.h5, FAILED, 32
1400, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.06585/SS.06585_SS.18308.h5, FAILED, 14
4400, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.09637/SS.09637_SS.18340.h5, FAILED, 44
1100, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.09268/SS.09268_SS.18839.h5, FAILED, 11
4500, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.09637/SS.09637_SS.10776.h5, FAILED, 45
5700, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10586/SS.10586_SS.20193.h5, FAILED, 57
5800, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10586/SS.10586_SS.10899.h5, FAILED, 58
5900, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10221/SS.10221_SS.10386.h5, FAILED, 59
2, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.07499/SS.07499_SS.10820.h5, FAILED, 0
801, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.04973/SS.04973_SS.17613.h5, FAILED, 8
5301, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.09548/SS.09548_SS.10841.h5, FAILED, 53
4601, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10368/SS.10368_SS.19744.h5, FAILED, 46
3801, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.15288/SS.15288_SS.17930.h5, FAILED, 38
1801, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10505/SS.10505_SS.18308.h5, FAILED, 18
4201, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.03659/SS.03659_SS.04973.h5, FAILED, 42
3001, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10737/SS.10737_SS.10845.h5, FAILED, 30
2201, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.09529/SS.09529_SS.16970.h5, FAILED, 22
301, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.17875/SS.17875_SS.18352.h5, FAILED, 3
5201, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.14648/SS.14648_SS.16870.h5, FAILED, 52
1001, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.05441/SS.05441_SS.18042.h5, FAILED, 10
701, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.04973/SS.04973_SS.17875.h5, FAILED, 7
2002, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.14768/SS.14768_SS.16507.h5, FAILED, 20
4101, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.03659/SS.03659_SS.10197.h5, FAILED, 41
3101, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.14599/SS.14599_SS.18352.h5, FAILED, 31
901, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.05441/SS.05441_SS.17024.h5, FAILED, 9
2801, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10857/SS.10857_SS.16793.h5, FAILED, 28
5601, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.14976/SS.14976_SS.15636.h5, FAILED, 56
3901, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.17892/SS.17892_SS.18411.h5, FAILED, 39
5401, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.09548/SS.09548_SS.16814.h5, FAILED, 54
2701, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.17877/SS.17877_SS.18843.h5, FAILED, 27
2101, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.15729/SS.15729_SS.17130.h5, FAILED, 21
401, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10706/SS.10706_SS.10737.h5, FAILED, 4
5001, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.09806/SS.09806_SS.10857.h5, FAILED, 50
2301, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.05179/SS.05179_SS.14537.h5, FAILED, 23
4001, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10763/SS.10763_SS.16707.h5, FAILED, 40
2901, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.15604/SS.15604_SS.18531.h5, FAILED, 29
601, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.10330/SS.10330_SS.15869.h5, FAILED, 6
4701, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.15869/SS.15869_SS.18843.h5, FAILED, 47
3601, /srv/beegfs/scratch/shares/cdff/DPM/Processing/STACK_no_bad_stations_chan_corrected/SS.07111/SS.07111_SS.10776.h5, FAILED, 36
