,names,starttime,endtime
37,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.15672..DPN.453015672.2023.10.02.00.00.00.000.N.miniseed,1696204800.0,1696291200.0
38,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.14938..DPE.453014938.2023.10.21.00.00.00.000.E.miniseed,1697846400.0,1697932800.0
39,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.05230..DPN.453005230.2023.10.18.00.00.00.000.N.miniseed,1697587200.0,1697673600.0
40,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.17542..DPN.453017542.2023.10.09.00.00.00.000.N.miniseed,1696809600.0,1696896000.0
41,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10867..DPE.453010867.2023.10.26.00.00.00.000.E.miniseed,1698278400.0,1698332878.0
42,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.16793..DPZ.453016793.2023.10.14.00.00.00.000.Z.miniseed,1697241600.0,1697328000.0
43,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.17521..DPZ.453017521.2023.10.09.00.00.00.000.Z.miniseed,1696809600.0,1696896000.0
44,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.15249..DPZ.453015249.2023.09.30.00.00.00.000.Z.miniseed,1696032000.0,1696118400.0
45,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.17809..DPZ.453017809.2023.10.09.00.00.00.000.Z.miniseed,1696809600.0,1696896000.0
46,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.15007..DPE.453015007.2023.10.10.00.00.00.000.E.miniseed,1696896000.0,1696982399.0
47,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10737..DPZ.453010737.2023.09.29.00.00.00.000.Z.miniseed,1695945600.0,1696032000.0
48,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10524..DPN.453010524.2023.10.26.00.00.00.000.N.miniseed,1698278400.0,1698308986.0
49,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.16490..DPN.453016490.2023.10.16.00.00.00.000.N.miniseed,1697414400.0,1697500800.0
50,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.17853..DPN.453017853.2023.10.20.00.00.00.000.N.miniseed,1697760000.0,1697846400.0
51,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.18308..DPN.453018308.2023.09.29.00.00.00.000.N.miniseed,1695945600.0,1696032000.0
52,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.18839..DPE.453018839.2023.10.04.00.00.00.000.E.miniseed,1696377600.0,1696464000.0
53,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.16870..DPZ.453016870.2023.09.27.00.00.00.000.Z.miniseed,1695772800.0,1695859200.0
54,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10898..DPE.453010898.2023.10.03.00.00.00.000.E.miniseed,1696291200.0,1696377600.0
55,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.09270..DPZ.453009270.2023.10.14.00.00.00.000.Z.miniseed,1697241600.0,1697328000.0
56,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.18462..DPE.453018462.2023.10.06.00.00.00.000.E.miniseed,1696550400.0,1696636800.0
57,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10454..DPZ.453010454.2023.10.06.00.00.00.000.Z.miniseed,1696550400.0,1696636800.0
58,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.14537..DPE.453014537.2023.10.18.00.00.00.000.E.miniseed,1697587200.0,1697673600.0
59,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10359..DPE.453010359.2023.10.20.00.00.00.000.E.miniseed,1697760000.0,1697846400.0
60,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.15248..DPZ.453015248.2023.10.22.00.00.00.000.Z.miniseed,1697932800.0,1698019200.0
61,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10893..DPZ.453010893.2023.10.05.00.00.00.000.Z.miniseed,1696464000.0,1696550400.0
